customer_id,name,age,nationality,occupation,pep_status,sanctions_match,suspicious_probability,transaction_count,total_amount
CUST000013,Lisa Hensley,19,Thailand,Unemployed,0,0,0.5407322072117556,38.0,23821.16
CUST000015,Dylan Miller,77,San Marino,Unemployed,0,0,0.6443545167530986,31.0,54117.88
CUST000016,Brian Ramirez,38,Egypt,Doctor,0,0,0.6770571608894008,34.0,57903.78
CUST000022,Patty Perez,59,Seychelles,Doctor,1,0,0.7863097450136151,33.0,58085.579999999994
CUST000029,Zachary Hicks,68,Greenland,Sales Representative,1,0,0.7766197600646003,19.0,27223.54
CUST000031,Rebecca Henderson,81,Kiribati,Doctor,0,0,0.5063729621761032,32.0,67808.55
CUST000033,Tricia Valencia,68,Montserrat,Unemployed,0,0,0.7226791841354584,29.0,77876.31
CUST000035,Debra Davidson,38,Mongolia,Sales Representative,0,0,0.5513275585117433,30.0,53984.08
CUST000040,Brittany Farmer,77,Guinea,Consultant,0,0,0.7835544681339881,28.0,14385.08
CUST000041,Paula Moreno,31,Cameroon,Accountant,0,0,0.7113715098636519,42.0,30140.5
CUST000044,Anthony Humphrey,19,"Congo, The Democratic Republic of the",Unemployed,0,0,0.7719119455752582,32.0,30240.32
CUST000053,Crystal Robinson,21,South Africa,IT Professional,0,0,0.7984038037280351,35.0,39289.65
CUST000054,Mark Perez,19,Albania,Business Owner,0,0,0.8454246184896012,23.0,44288.5
CUST000055,Shannon Jones,23,Costa Rica,Business Owner,1,0,0.7756782951156929,23.0,27311.370000000003
CUST000061,Victoria Garcia,61,Ukraine,Consultant,0,0,0.7744257839881089,28.0,21878.760000000002
CUST000062,Gerald Hensley,51,Antigua and Barbuda,Doctor,0,0,0.7830148676911809,21.0,32811.02
CUST000064,Donald Wright,31,Rwanda,Financial Analyst,0,0,0.8125479934854991,18.0,24059.81
CUST000065,Jessica Callahan,65,British Indian Ocean Territory,Doctor,0,0,0.6028558426991605,37.0,62832.09
CUST000067,Tracy House,89,Cabo Verde,Retired,0,0,0.5553829438966246,24.0,16610.58
CUST000069,James Brown,57,Bahamas,Unemployed,0,0,0.6986833063724213,25.0,22684.36
CUST000075,Amy Silva,46,Macao,Government Employee,0,0,0.7089845948608692,28.0,33981.37
CUST000079,Steve Sanchez,88,Norfolk Island,Retired,0,0,0.6067359649745496,33.0,21377.260000000002
CUST000082,Mike Allen,25,Türkiye,Manager,0,0,0.732988615094414,29.0,39015.94
CUST000083,Michael Evans,80,Guyana,Lawyer,0,0,0.7340523481906022,26.0,16332.130000000001
CUST000087,Shirley Suarez,52,Azerbaijan,Lawyer,0,0,0.6051457884602733,27.0,64366.85
CUST000088,Christopher Bass,50,Namibia,Doctor,0,0,0.7990483522097012,26.0,21569.69
CUST000089,Lisa Archer,22,Hungary,Teacher,0,0,0.8642964898504532,27.0,45731.12
CUST000091,Matthew Mcmillan,45,Poland,Consultant,0,0,0.7773027147641483,23.0,28465.219999999998
CUST000095,John Whitehead,29,Senegal,Unemployed,0,0,0.6975966343138986,29.0,26428.629999999997
CUST000096,Anna Henderson,51,Eswatini,Manager,0,1,0.615808688517926,30.0,30917.39
CUST000098,Deborah Figueroa,65,Slovenia,Researcher,0,0,0.8139431369270569,30.0,43589.12
CUST000104,Christine Wright,82,Oman,Engineer,0,0,0.8329136895138507,23.0,53470.18
CUST000106,Marc Moore,20,Albania,IT Professional,0,0,0.7710343401202131,22.0,34944.37
CUST000107,Sharon Cherry,18,"Iran, Islamic Republic of",Business Owner,0,0,0.5246839415225516,27.0,42921.22
CUST000109,Evelyn Galvan,31,Colombia,IT Professional,0,0,0.8032878801875394,25.0,17053.09
CUST000112,Shannon Walker,32,Sierra Leone,Lawyer,0,0,0.7732724579576352,24.0,37211.0
CUST000117,William Herrera,21,Lithuania,Engineer,0,0,0.8343350996801243,25.0,30193.56
CUST000118,Ashley Waller,40,Nepal,Unemployed,0,0,0.7739773464445314,30.0,17106.45
CUST000126,Erin Edwards,76,Estonia,Financial Analyst,0,0,0.6612132674079008,27.0,47405.51
CUST000127,Michelle Evans,45,Martinique,Researcher,0,0,0.8369654736696533,19.0,47811.88
CUST000131,Elizabeth Kelley,79,Brazil,Manager,0,0,0.850348544886782,25.0,41028.659999999996
CUST000132,Dustin Jordan,74,Brazil,Teacher,0,0,0.7638883169226329,39.0,46792.51
CUST000133,Mary Marshall,23,China,Business Owner,0,0,0.6489690052268979,35.0,15933.93
CUST000138,Courtney Gonzalez,79,Andorra,Sales Representative,0,0,0.7283567161017531,36.0,33102.41
CUST000143,Patricia Rodriguez,20,Tokelau,Manager,0,0,0.7687147610131672,24.0,14392.53
CUST000151,David Wright,61,Cuba,Student,0,0,0.806071538651873,33.0,34757.799999999996
CUST000154,Devon Flores,49,United Kingdom,Accountant,0,0,0.8258508734974014,21.0,29890.47
CUST000158,Jason Stein,69,Djibouti,Doctor,0,0,0.5141559468640353,29.0,50641.4
CUST000159,Melissa Gates,29,Svalbard and Jan Mayen,Government Employee,0,0,0.8677642430713598,22.0,32147.9
CUST000163,Lindsey Walker,73,Libya,Doctor,0,0,0.7613261454458149,24.0,60337.5
CUST000165,Michael Powell,19,France,Student,1,0,0.8202282102044209,26.0,7751.99
CUST000166,John Anderson,19,Paraguay,Doctor,0,0,0.8469875932635123,30.0,32738.190000000002
CUST000175,Nicole Herring,49,South Africa,Consultant,0,0,0.8113657555089033,24.0,17008.739999999998
CUST000177,Michael Elliott,72,Kazakhstan,Financial Analyst,0,0,0.8128292144175497,30.0,38491.61
CUST000189,Madison Poole,20,Bahrain,Manager,0,0,0.7906876615292318,26.0,26634.81
CUST000194,Angelica Keith,84,Åland Islands,Sales Representative,0,0,0.6716243067099208,39.0,55394.810000000005
CUST000199,Adam Vaughan,50,"Bolivia, Plurinational State of",Teacher,0,0,0.7856720321182135,24.0,18153.96
CUST000200,Nathan Freeman,57,Montenegro,Business Owner,0,0,0.7953431874752684,27.0,18756.13
CUST000202,Ricky Davis II,18,Bouvet Island,Accountant,0,0,0.7068702596169752,37.0,41882.26
CUST000206,David Martinez,40,Portugal,Business Owner,0,0,0.7371309935759033,33.0,16096.150000000001
CUST000211,Christopher Smith,77,South Sudan,Business Owner,0,0,0.7738020584640872,26.0,18692.05
CUST000218,Mark Brown,49,Tajikistan,Unemployed,1,0,0.7011364595337366,25.0,21596.98
CUST000219,Justin Torres,26,Panama,Accountant,0,0,0.7878241957866291,27.0,63250.590000000004
CUST000238,David Davis,50,Mali,Doctor,1,0,0.7557020856982787,26.0,16995.97
CUST000241,Andrew Avila,31,France,Financial Analyst,0,0,0.6354590012653297,35.0,28789.74
CUST000255,Cynthia Moore,68,Madagascar,Sales Representative,0,0,0.6762624799935313,31.0,11436.99
CUST000259,Denise Davenport,44,British Indian Ocean Territory,IT Professional,0,0,0.6453514694313176,25.0,22329.26
CUST000268,Colin Terry,21,Cambodia,Retired,0,0,0.7615451131881444,39.0,38657.03
CUST000272,Veronica Simpson,34,Chad,IT Professional,0,0,0.7516422639705612,34.0,19980.49
CUST000278,Marie Christian,41,Turkmenistan,Retired,0,0,0.7937187036693413,22.0,19063.739999999998
CUST000282,Tammie Bright,80,Christmas Island,Teacher,0,0,0.7821654013377553,29.0,35589.2
CUST000283,Jessica Garcia,49,"Bolivia, Plurinational State of",Retired,0,0,0.8661864125713765,24.0,61436.18
CUST000289,Lisa Allen,75,India,Accountant,0,0,0.7425423582710302,37.0,41681.94
CUST000292,Stephanie Byrd,41,New Caledonia,Business Owner,0,0,0.7650077593870874,30.0,36943.03
CUST000293,Jeremy Reed,49,Gambia,Consultant,1,0,0.7690335278837712,24.0,18637.75
CUST000297,Laura Haney,44,"Palestine, State of",Business Owner,0,0,0.6462667737194436,18.0,11459.2
CUST000298,William Barrett,19,Liechtenstein,Engineer,0,0,0.767555712234124,31.0,54133.84
CUST000300,Amber Obrien,50,Lebanon,Retired,0,0,0.5065455773394496,25.0,13909.09
CUST000301,Tanner Mitchell DDS,26,Lesotho,Researcher,1,0,0.7072536583153571,25.0,9190.68
CUST000309,Kiara Mcintyre,41,Belarus,Financial Analyst,0,0,0.8039323670445939,30.0,45471.08
CUST000310,Dawn Summers,30,Macao,Student,0,0,0.773768368537531,27.0,10412.13
CUST000311,Dr. Paul Morgan,77,"Moldova, Republic of",Researcher,0,0,0.5912257092212105,25.0,14234.22
CUST000317,Lauren Carson,82,Curaçao,IT Professional,1,0,0.8399258141150014,25.0,52011.04
CUST000319,Stephen Hoffman,33,Paraguay,Sales Representative,0,0,0.7826738463879837,25.0,34035.759999999995
CUST000326,Patrick Moore,42,Georgia,Lawyer,0,0,0.6341043047887176,22.0,45453.5
CUST000331,Vanessa Howard,75,"Virgin Islands, U.S.",Financial Analyst,1,0,0.8162724222092372,28.0,48591.56
CUST000345,Kayla Rodriguez,23,"Virgin Islands, U.S.",Student,0,0,0.6710730120477314,30.0,51909.5
CUST000354,Michael Farrell,34,"Moldova, Republic of",Lawyer,1,0,0.6372059070593739,24.0,11019.18
CUST000355,Patricia Le,80,Madagascar,Unemployed,1,0,0.7490190168864826,28.0,33025.46
CUST000370,Sabrina Austin,78,Trinidad and Tobago,Student,0,0,0.8166680646423187,34.0,35019.93
CUST000371,Allison Hickman,81,Barbados,Student,1,0,0.9102307700301,30.0,54115.04
CUST000372,Debra White,80,Uzbekistan,Manager,0,0,0.8335631719810047,20.0,42443.21
